epoch,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
235,-438.6,-438.6,-438.6,-319.1,-319.1,-319.1
236,-384.2,-384.2,-384.2,-468.1,-468.1,-468.1
237,-386.1,-386.1,-386.1,-428.6,-428.6,-428.6
238,-431.8,-431.8,-431.8,-375.9,-375.9,-375.9
239,-409.8,-409.8,-409.8,-362.4,-362.4,-362.4
240,-425.2,-425.2,-425.2,-399,-399,-399
241,-410.5,-410.5,-410.5,-355.1,-355.1,-355.1
242,-405.2,-405.2,-405.2,-407.3,-407.3,-407.3
243,-397.5,-397.5,-397.5,-378.9,-378.9,-378.9
244,-399,-399,-399,-412.8,-412.8,-412.8
245,-457.8,-457.8,-457.8,-367.3,-367.3,-367.3
246,-395.5,-395.5,-395.5,-351.2,-351.2,-351.2
247,-372.9,-372.9,-372.9,-412.3,-412.3,-412.3
248,-359.3,-359.3,-359.3,-397,-397,-397
249,-417.8,-417.8,-417.8,-384.8,-384.8,-384.8
250,-416.5,-416.5,-416.5,-406.5,-406.5,-406.5
251,-369.7,-369.7,-369.7,-351.9,-351.9,-351.9
252,-466.1,-466.1,-466.1,-379.2,-379.2,-379.2
253,-454.2,-454.2,-454.2,-360.1,-360.1,-360.1
254,-429.5,-429.5,-429.5,-385,-385,-385
255,-460.9,-460.9,-460.9,-384.7,-384.7,-384.7
256,-409.3,-409.3,-409.3,-345.9,-345.9,-345.9
257,-372.7,-372.7,-372.7,-367.2,-367.2,-367.2
258,-423,-423,-423,-344.7,-344.7,-344.7
259,-394.5,-394.5,-394.5,-412.2,-412.2,-412.2
260,-427.6,-427.6,-427.6,-354.5,-354.5,-354.5
261,-452.1,-452.1,-452.1,-360.9,-360.9,-360.9
262,-386.6,-386.6,-386.6,-386,-386,-386
263,-376.8,-376.8,-376.8,-434.7,-434.7,-434.7
264,-373.5,-373.5,-373.5,-391.7,-391.7,-391.7
265,-414.8,-414.8,-414.8,-356.2,-356.2,-356.2
266,-424.8,-424.8,-424.8,-441.5,-441.5,-441.5
267,-418.9,-418.9,-418.9,-387.3,-387.3,-387.3
268,-440.7,-440.7,-440.7,-342.5,-342.5,-342.5
269,-442.7,-442.7,-442.7,-361.1,-361.1,-361.1
270,-398.5,-398.5,-398.5,-363.8,-363.8,-363.8
271,-409.2,-409.2,-409.2,-410.6,-410.6,-410.6
272,-393,-393,-393,-372,-372,-372
273,-438,-438,-438,-356.8,-356.8,-356.8
274,-369.8,-369.8,-369.8,-320.1,-320.1,-320.1
275,-366.8,-366.8,-366.8,-388.4,-388.4,-388.4
276,-418.2,-418.2,-418.2,-339.3,-339.3,-339.3
277,-442.5,-442.5,-442.5,-354.6,-354.6,-354.6
278,-346.8,-346.8,-346.8,-327.5,-327.5,-327.5
279,-430.5,-430.5,-430.5,-360,-360,-360
280,-380.6,-380.6,-380.6,-376.7,-376.7,-376.7
281,-430.8,-430.8,-430.8,-399.4,-399.4,-399.4
282,-365.2,-365.2,-365.2,-429.2,-429.2,-429.2
283,-372.4,-372.4,-372.4,-394.9,-394.9,-394.9
284,-407,-407,-407,-407.2,-407.2,-407.2
285,-385.2,-385.2,-385.2,-345.6,-345.6,-345.6
286,-372.8,-372.8,-372.8,-346,-346,-346
287,-347,-347,-347,-339,-339,-339
288,-408.4,-408.4,-408.4,-390.5,-390.5,-390.5
289,-410.5,-410.5,-410.5,-352,-352,-352
290,-401.7,-401.7,-401.7,-331.4,-331.4,-331.4
291,-378.3,-378.3,-378.3,-377.4,-377.4,-377.4
292,-360.4,-360.4,-360.4,-420.7,-420.7,-420.7
293,-325.1,-325.1,-325.1,-381.9,-381.9,-381.9
294,-395.2,-395.2,-395.2,-371.1,-371.1,-371.1
295,-396,-396,-396,-384.2,-384.2,-384.2
296,-380.4,-380.4,-380.4,-288.6,-288.6,-288.6
297,-402.9,-402.9,-402.9,-318.5,-318.5,-318.5
298,-419.1,-419.1,-419.1,-376.1,-376.1,-376.1
299,-424.4,-424.4,-424.4,-370.8,-370.8,-370.8
300,-398.1,-398.1,-398.1,-382.2,-382.2,-382.2
301,-379,-379,-379,-351.7,-351.7,-351.7
302,-402.1,-402.1,-402.1,-375.3,-375.3,-375.3
303,-404.8,-404.8,-404.8,-346.6,-346.6,-346.6
304,-393.5,-393.5,-393.5,-344.2,-344.2,-344.2
305,-386.1,-386.1,-386.1,-312,-312,-312
306,-394.8,-394.8,-394.8,-395.4,-395.4,-395.4
