"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MAX"
"136","-413.7","-413.7","-413.7","-373.8","-373.8","-373.8","-404.5","-404.5","-404.5","-394.4","-394.4","-394.4"
"137","-340.2","-340.2","-340.2","-463.5","-463.5","-463.5","-355.5","-355.5","-355.5","-408.1","-408.1","-408.1"
"138","-369.1","-369.1","-369.1","-384.3","-384.3","-384.3","-391.3","-391.3","-391.3","-366.5","-366.5","-366.5"
"139","-418.1","-418.1","-418.1","-423.7","-423.7","-423.7","-365.9","-365.9","-365.9","-437","-437","-437"
"140","-443.4","-443.4","-443.4","-434.7","-434.7","-434.7","-339.9","-339.9","-339.9","-414","-414","-414"
"141","-394.6","-394.6","-394.6","-408.7","-408.7","-408.7","-397.8","-397.8","-397.8","-375.5","-375.5","-375.5"
"142","-392.7","-392.7","-392.7","-374.1","-374.1","-374.1","-355.5","-355.5","-355.5","-447.3","-447.3","-447.3"
"143","-391.2","-391.2","-391.2","-388.9","-388.9","-388.9","-382.1","-382.1","-382.1","-441.7","-441.7","-441.7"
"144","-425","-425","-425","-410.4","-410.4","-410.4","-355.5","-355.5","-355.5","-407.9","-407.9","-407.9"
"145","-408.3","-408.3","-408.3","-358.5","-358.5","-358.5","-404","-404","-404","-400.2","-400.2","-400.2"
"146","-398.8","-398.8","-398.8","-390.9","-390.9","-390.9","-369","-369","-369","-416.8","-416.8","-416.8"
"147","-389.8","-389.8","-389.8","-401.1","-401.1","-401.1","-434.5","-434.5","-434.5","-386.8","-386.8","-386.8"
"148","-375.2","-375.2","-375.2","-387.2","-387.2","-387.2","-361.1","-361.1","-361.1","-426.7","-426.7","-426.7"
"149","-377.8","-377.8","-377.8","-422.2","-422.2","-422.2","-410.7","-410.7","-410.7","-424.9","-424.9","-424.9"
"150","-381.8","-381.8","-381.8","-407.4","-407.4","-407.4","-384.4","-384.4","-384.4","-394.9","-394.9","-394.9"
"151","-433.1","-433.1","-433.1","-411.4","-411.4","-411.4","-410.8","-410.8","-410.8","-403","-403","-403"
"152","-380.7","-380.7","-380.7","-418.4","-418.4","-418.4","-384.1","-384.1","-384.1","-417.7","-417.7","-417.7"
"153","-414.7","-414.7","-414.7","-378.9","-378.9","-378.9","-427.8","-427.8","-427.8","-391.7","-391.7","-391.7"
"154","-352.6","-352.6","-352.6","-453.4","-453.4","-453.4","-365.8","-365.8","-365.8","-383.9","-383.9","-383.9"
"155","-384.7","-384.7","-384.7","-362.4","-362.4","-362.4","-443.7","-443.7","-443.7","-410.5","-410.5","-410.5"
"156","-456.5","-456.5","-456.5","-431","-431","-431","-395","-395","-395","-424.1","-424.1","-424.1"
"157","-409.7","-409.7","-409.7","-418.9","-418.9","-418.9","-422","-422","-422","-337.5","-337.5","-337.5"
"158","-370.5","-370.5","-370.5","-421.3","-421.3","-421.3","-380.9","-380.9","-380.9","-389.7","-389.7","-389.7"
"159","-455.5","-455.5","-455.5","-378.7","-378.7","-378.7","-362.5","-362.5","-362.5","-403.1","-403.1","-403.1"
"160","-403","-403","-403","-382.3","-382.3","-382.3","-383.2","-383.2","-383.2","-364.7","-364.7","-364.7"
"161","-449.9","-449.9","-449.9","-373.5","-373.5","-373.5","-436","-436","-436","-399.1","-399.1","-399.1"
"162","-364.9","-364.9","-364.9","-363.8","-363.8","-363.8","-381.6","-381.6","-381.6","-412.7","-412.7","-412.7"
"163","-426.2","-426.2","-426.2","-415.3","-415.3","-415.3","-305.4","-305.4","-305.4","-435.4","-435.4","-435.4"
"164","-356.9","-356.9","-356.9","-371.6","-371.6","-371.6","-350","-350","-350","-396.2","-396.2","-396.2"
"165","-385.6","-385.6","-385.6","-336.1","-336.1","-336.1","-409.2","-409.2","-409.2","-360.7","-360.7","-360.7"
"166","-399.6","-399.6","-399.6","-374.8","-374.8","-374.8","-378.1","-378.1","-378.1","-364.9","-364.9","-364.9"
"167","-350.3","-350.3","-350.3","-363.2","-363.2","-363.2","-355.4","-355.4","-355.4","-372.1","-372.1","-372.1"
"168","-346.5","-346.5","-346.5","-411.5","-411.5","-411.5","-327.2","-327.2","-327.2","-385.2","-385.2","-385.2"
"169","-392.1","-392.1","-392.1","-353.3","-353.3","-353.3","-409.1","-409.1","-409.1","-354.2","-354.2","-354.2"
"170","-447","-447","-447","-417.8","-417.8","-417.8","-393.1","-393.1","-393.1","-388.5","-388.5","-388.5"
"171","-347.4","-347.4","-347.4","-360.7","-360.7","-360.7","-393.2","-393.2","-393.2","-405.4","-405.4","-405.4"
"172","-391.8","-391.8","-391.8","-373.1","-373.1","-373.1","-381","-381","-381","-354.9","-354.9","-354.9"
"173","-443.5","-443.5","-443.5","-382.8","-382.8","-382.8","-383.6","-383.6","-383.6","-408","-408","-408"
"174","-415.7","-415.7","-415.7","-409.6","-409.6","-409.6","-343.3","-343.3","-343.3","-433.8","-433.8","-433.8"
"175","-350.6","-350.6","-350.6","-305","-305","-305","-352.1","-352.1","-352.1","-359.8","-359.8","-359.8"
"176","-375.7","-375.7","-375.7","-314.2","-314.2","-314.2","-370.5","-370.5","-370.5","-380.8","-380.8","-380.8"
"177","-421.6","-421.6","-421.6","-359.2","-359.2","-359.2","-368.6","-368.6","-368.6","-373","-373","-373"
"178","-372.9","-372.9","-372.9","-332.9","-332.9","-332.9","-353.5","-353.5","-353.5","-386.5","-386.5","-386.5"
"179","-387.6","-387.6","-387.6","-318.8","-318.8","-318.8","-349.9","-349.9","-349.9","-399.4","-399.4","-399.4"
"180","-406.3","-406.3","-406.3","-335.7","-335.7","-335.7","-332.2","-332.2","-332.2","-386.4","-386.4","-386.4"
"181","-372","-372","-372","-389.7","-389.7","-389.7","-313.9","-313.9","-313.9","-360","-360","-360"
"182","-393.2","-393.2","-393.2","-373","-373","-373","-373.2","-373.2","-373.2","-393","-393","-393"
"183","-416.3","-416.3","-416.3","-378","-378","-378","-400.8","-400.8","-400.8","-389","-389","-389"
"184","-373.3","-373.3","-373.3","-393.7","-393.7","-393.7","-362.2","-362.2","-362.2","-366.6","-366.6","-366.6"
"185","-392.5","-392.5","-392.5","-412.2","-412.2","-412.2","-337.2","-337.2","-337.2","-416.1","-416.1","-416.1"
"186","-437.4","-437.4","-437.4","-408.8","-408.8","-408.8","-329.7","-329.7","-329.7","-354.6","-354.6","-354.6"
"187","-349.3","-349.3","-349.3","-372.2","-372.2","-372.2","-417.6","-417.6","-417.6","-369.9","-369.9","-369.9"
"188","-410.9","-410.9","-410.9","-380.4","-380.4","-380.4","-360.9","-360.9","-360.9","-352.7","-352.7","-352.7"
"189","-352.3","-352.3","-352.3","-332.5","-332.5","-332.5","-333.3","-333.3","-333.3","-392.8","-392.8","-392.8"
