"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"154","-642.9","-642.9","-642.9","-629.5","-629.5","-629.5"
"155","-659.6","-659.6","-659.6","-599.4","-599.4","-599.4"
"156","-611.6","-611.6","-611.6","-701.3","-701.3","-701.3"
"157","-676","-676","-676","-742.8","-742.8","-742.8"
"158","-645.4","-645.4","-645.4","-686.8","-686.8","-686.8"
"159","-698.3","-698.3","-698.3","-738.7","-738.7","-738.7"
"160","-598.5","-598.5","-598.5","-656","-656","-656"
"161","-643.1","-643.1","-643.1","-696.6","-696.6","-696.6"
"162","-697.2","-697.2","-697.2","-639.7","-639.7","-639.7"
"163","-679.9","-679.9","-679.9","-695.9","-695.9","-695.9"
"164","-660.7","-660.7","-660.7","-675.2","-675.2","-675.2"
"165","-645.3","-645.3","-645.3","-763.6","-763.6","-763.6"
"166","-697.9","-697.9","-697.9","-638.1","-638.1","-638.1"
"167","-761.4","-761.4","-761.4","-756.8","-756.8","-756.8"
"168","-699.7","-699.7","-699.7","-649.4","-649.4","-649.4"
"169","-717.2","-717.2","-717.2","-672.8","-672.8","-672.8"
"170","-611.1","-611.1","-611.1","-605.5","-605.5","-605.5"
"171","-607.1","-607.1","-607.1","-791.3","-791.3","-791.3"
"172","-670.5","-670.5","-670.5","-766.9","-766.9","-766.9"
"173","-647.4","-647.4","-647.4","-739.8","-739.8","-739.8"
"174","-684.5","-684.5","-684.5","-723.9","-723.9","-723.9"
"175","-664.7","-664.7","-664.7","-611.9","-611.9","-611.9"
"176","-672.9","-672.9","-672.9","-743.7","-743.7","-743.7"
"177","-732.1","-732.1","-732.1","-734.3","-734.3","-734.3"
"178","-645.4","-645.4","-645.4","-725.5","-725.5","-725.5"
"179","-681.8","-681.8","-681.8","-706.4","-706.4","-706.4"
"180","-614.3","-614.3","-614.3","-635.7","-635.7","-635.7"
"181","-781","-781","-781","-784.1","-784.1","-784.1"
"182","-629.5","-629.5","-629.5","-749.9","-749.9","-749.9"
"183","-655.1","-655.1","-655.1","-635.6","-635.6","-635.6"
