"epoch","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX"
"877","1752","1752","1752","18.307692307692307","18.307692307692307","18.307692307692307","1752","1752","1752","18.923076923076923","18.923076923076923","18.923076923076923","1752","1752","1752","19.846153846153847","19.846153846153847","19.846153846153847","1752","1752","1752","19.23076923076923","19.23076923076923","19.23076923076923","2628","2628","2628","19.23076923076923","19.23076923076923","19.23076923076923","3504","3504","3504","18.923076923076923","18.923076923076923","18.923076923076923"
"878","1754","1754","1754","18.76923076923077","18.76923076923077","18.76923076923077","1754","1754","1754","18","18","18","1754","1754","1754","19.384615384615383","19.384615384615383","19.384615384615383","1754","1754","1754","19.23076923076923","19.23076923076923","19.23076923076923","2631","2631","2631","19.23076923076923","19.23076923076923","19.23076923076923","3508","3508","3508","17.23076923076923","17.23076923076923","17.23076923076923"
"879","1756","1756","1756","19.076923076923077","19.076923076923077","19.076923076923077","1756","1756","1756","19.23076923076923","19.23076923076923","19.23076923076923","1756","1756","1756","18.307692307692307","18.307692307692307","18.307692307692307","1756","1756","1756","19.692307692307693","19.692307692307693","19.692307692307693","2634","2634","2634","19.384615384615383","19.384615384615383","19.384615384615383","3512","3512","3512","18.615384615384617","18.615384615384617","18.615384615384617"
"880","1758","1758","1758","18.153846153846153","18.153846153846153","18.153846153846153","1758","1758","1758","18.46153846153846","18.46153846153846","18.46153846153846","1758","1758","1758","18.923076923076923","18.923076923076923","18.923076923076923","1758","1758","1758","18.46153846153846","18.46153846153846","18.46153846153846","2637","2637","2637","18.46153846153846","18.46153846153846","18.46153846153846","3516","3516","3516","18.307692307692307","18.307692307692307","18.307692307692307"
"881","1760","1760","1760","19.53846153846154","19.53846153846154","19.53846153846154","1760","1760","1760","19.384615384615383","19.384615384615383","19.384615384615383","1760","1760","1760","19.23076923076923","19.23076923076923","19.23076923076923","1760","1760","1760","19.384615384615383","19.384615384615383","19.384615384615383","2640","2640","2640","19.692307692307693","19.692307692307693","19.692307692307693","3520","3520","3520","19.23076923076923","19.23076923076923","19.23076923076923"
"882","1762","1762","1762","18.615384615384617","18.615384615384617","18.615384615384617","1762","1762","1762","18.307692307692307","18.307692307692307","18.307692307692307","1762","1762","1762","19.846153846153847","19.846153846153847","19.846153846153847","1762","1762","1762","18","18","18","2643","2643","2643","19.692307692307693","19.692307692307693","19.692307692307693","3524","3524","3524","18.153846153846153","18.153846153846153","18.153846153846153"
"883","1764","1764","1764","18.76923076923077","18.76923076923077","18.76923076923077","1764","1764","1764","19.076923076923077","19.076923076923077","19.076923076923077","1764","1764","1764","19.846153846153847","19.846153846153847","19.846153846153847","1764","1764","1764","18.76923076923077","18.76923076923077","18.76923076923077","2646","2646","2646","19.076923076923077","19.076923076923077","19.076923076923077","3528","3528","3528","17.846153846153847","17.846153846153847","17.846153846153847"
"884","1766","1766","1766","18.615384615384617","18.615384615384617","18.615384615384617","1766","1766","1766","18.923076923076923","18.923076923076923","18.923076923076923","1766","1766","1766","18.615384615384617","18.615384615384617","18.615384615384617","1766","1766","1766","19.076923076923077","19.076923076923077","19.076923076923077","2649","2649","2649","18.46153846153846","18.46153846153846","18.46153846153846","3532","3532","3532","17.53846153846154","17.53846153846154","17.53846153846154"
"885","1768","1768","1768","19.692307692307693","19.692307692307693","19.692307692307693","1768","1768","1768","18.76923076923077","18.76923076923077","18.76923076923077","1768","1768","1768","18.46153846153846","18.46153846153846","18.46153846153846","1768","1768","1768","19.076923076923077","19.076923076923077","19.076923076923077","2652","2652","2652","21.076923076923077","21.076923076923077","21.076923076923077","3536","3536","3536","18.76923076923077","18.76923076923077","18.76923076923077"
"886","1770","1770","1770","20.615384615384617","20.615384615384617","20.615384615384617","1770","1770","1770","18.153846153846153","18.153846153846153","18.153846153846153","1770","1770","1770","18.307692307692307","18.307692307692307","18.307692307692307","1770","1770","1770","19.23076923076923","19.23076923076923","19.23076923076923","2655","2655","2655","17.076923076923077","17.076923076923077","17.076923076923077","3540","3540","3540","18.307692307692307","18.307692307692307","18.307692307692307"
"887","1772","1772","1772","18.76923076923077","18.76923076923077","18.76923076923077","1772","1772","1772","18.153846153846153","18.153846153846153","18.153846153846153","1772","1772","1772","19.846153846153847","19.846153846153847","19.846153846153847","1772","1772","1772","19.384615384615383","19.384615384615383","19.384615384615383","2658","2658","2658","17.692307692307693","17.692307692307693","17.692307692307693","3544","3544","3544","20","20","20"
"888","1774","1774","1774","18.923076923076923","18.923076923076923","18.923076923076923","1774","1774","1774","18.923076923076923","18.923076923076923","18.923076923076923","1774","1774","1774","19.23076923076923","19.23076923076923","19.23076923076923","1774","1774","1774","18.307692307692307","18.307692307692307","18.307692307692307","2661","2661","2661","20.923076923076923","20.923076923076923","20.923076923076923","3548","3548","3548","19.076923076923077","19.076923076923077","19.076923076923077"
"889","1776","1776","1776","18.923076923076923","18.923076923076923","18.923076923076923","1776","1776","1776","19.53846153846154","19.53846153846154","19.53846153846154","1776","1776","1776","19.23076923076923","19.23076923076923","19.23076923076923","1776","1776","1776","19.076923076923077","19.076923076923077","19.076923076923077","2664","2664","2664","19.384615384615383","19.384615384615383","19.384615384615383","3552","3552","3552","20.153846153846153","20.153846153846153","20.153846153846153"
"890","1778","1778","1778","18.615384615384617","18.615384615384617","18.615384615384617","1778","1778","1778","20","20","20","1778","1778","1778","20","20","20","1778","1778","1778","19.23076923076923","19.23076923076923","19.23076923076923","2667","2667","2667","18.615384615384617","18.615384615384617","18.615384615384617","3556","3556","3556","17.846153846153847","17.846153846153847","17.846153846153847"
"891","1780","1780","1780","18.153846153846153","18.153846153846153","18.153846153846153","1780","1780","1780","19.076923076923077","19.076923076923077","19.076923076923077","1780","1780","1780","19.692307692307693","19.692307692307693","19.692307692307693","1780","1780","1780","18.923076923076923","18.923076923076923","18.923076923076923","2670","2670","2670","19.076923076923077","19.076923076923077","19.076923076923077","3560","3560","3560","19.692307692307693","19.692307692307693","19.692307692307693"
"892","1782","1782","1782","18.153846153846153","18.153846153846153","18.153846153846153","1782","1782","1782","19.23076923076923","19.23076923076923","19.23076923076923","1782","1782","1782","18.76923076923077","18.76923076923077","18.76923076923077","1782","1782","1782","18.923076923076923","18.923076923076923","18.923076923076923","2673","2673","2673","18.76923076923077","18.76923076923077","18.76923076923077","3564","3564","3564","18.923076923076923","18.923076923076923","18.923076923076923"
"893","1784","1784","1784","19.076923076923077","19.076923076923077","19.076923076923077","1784","1784","1784","19.23076923076923","19.23076923076923","19.23076923076923","1784","1784","1784","19.076923076923077","19.076923076923077","19.076923076923077","1784","1784","1784","19.076923076923077","19.076923076923077","19.076923076923077","2676","2676","2676","20.307692307692307","20.307692307692307","20.307692307692307","3568","3568","3568","18.76923076923077","18.76923076923077","18.76923076923077"
"894","1786","1786","1786","19.846153846153847","19.846153846153847","19.846153846153847","1786","1786","1786","20.153846153846153","20.153846153846153","20.153846153846153","1786","1786","1786","19.23076923076923","19.23076923076923","19.23076923076923","1786","1786","1786","19.076923076923077","19.076923076923077","19.076923076923077","2679","2679","2679","18.46153846153846","18.46153846153846","18.46153846153846","3572","3572","3572","18","18","18"
"895","1788","1788","1788","18.923076923076923","18.923076923076923","18.923076923076923","1788","1788","1788","16.615384615384617","16.615384615384617","16.615384615384617","1788","1788","1788","19.076923076923077","19.076923076923077","19.076923076923077","1788","1788","1788","19.53846153846154","19.53846153846154","19.53846153846154","2682","2682","2682","18.923076923076923","18.923076923076923","18.923076923076923","3576","3576","3576","19.23076923076923","19.23076923076923","19.23076923076923"
"896","1790","1790","1790","18.46153846153846","18.46153846153846","18.46153846153846","1790","1790","1790","16.615384615384617","16.615384615384617","16.615384615384617","1790","1790","1790","18.76923076923077","18.76923076923077","18.76923076923077","1790","1790","1790","19.692307692307693","19.692307692307693","19.692307692307693","2685","2685","2685","19.692307692307693","19.692307692307693","19.692307692307693","3580","3580","3580","19.076923076923077","19.076923076923077","19.076923076923077"
"897","1792","1792","1792","19.53846153846154","19.53846153846154","19.53846153846154","1792","1792","1792","13.692307692307692","13.692307692307692","13.692307692307692","1792","1792","1792","19.846153846153847","19.846153846153847","19.846153846153847","1792","1792","1792","19.076923076923077","19.076923076923077","19.076923076923077","2688","2688","2688","19.53846153846154","19.53846153846154","19.53846153846154","3584","3584","3584","18.46153846153846","18.46153846153846","18.46153846153846"
"898","1794","1794","1794","20.46153846153846","20.46153846153846","20.46153846153846","1794","1794","1794","16.615384615384617","16.615384615384617","16.615384615384617","1794","1794","1794","18.307692307692307","18.307692307692307","18.307692307692307","1794","1794","1794","18.615384615384617","18.615384615384617","18.615384615384617","2691","2691","2691","19.692307692307693","19.692307692307693","19.692307692307693","3588","3588","3588","18.153846153846153","18.153846153846153","18.153846153846153"
"899","1796","1796","1796","18.615384615384617","18.615384615384617","18.615384615384617","1796","1796","1796","19.076923076923077","19.076923076923077","19.076923076923077","1796","1796","1796","19.846153846153847","19.846153846153847","19.846153846153847","1796","1796","1796","19.23076923076923","19.23076923076923","19.23076923076923","2694","2694","2694","19.076923076923077","19.076923076923077","19.076923076923077","3592","3592","3592","19.23076923076923","19.23076923076923","19.23076923076923"
"900","1798","1798","1798","19.692307692307693","19.692307692307693","19.692307692307693","1798","1798","1798","18.615384615384617","18.615384615384617","18.615384615384617","1798","1798","1798","19.53846153846154","19.53846153846154","19.53846153846154","1798","1798","1798","19.384615384615383","19.384615384615383","19.384615384615383","2697","2697","2697","16.615384615384617","16.615384615384617","16.615384615384617","3596","3596","3596","18.923076923076923","18.923076923076923","18.923076923076923"
"901","1800","1800","1800","19.53846153846154","19.53846153846154","19.53846153846154","1800","1800","1800","18.615384615384617","18.615384615384617","18.615384615384617","1800","1800","1800","19.692307692307693","19.692307692307693","19.692307692307693","1800","1800","1800","18.615384615384617","18.615384615384617","18.615384615384617","2700","2700","2700","18.307692307692307","18.307692307692307","18.307692307692307","3600","3600","3600","19.23076923076923","19.23076923076923","19.23076923076923"
"902","1802","1802","1802","18.923076923076923","18.923076923076923","18.923076923076923","1802","1802","1802","18.307692307692307","18.307692307692307","18.307692307692307","1802","1802","1802","19.23076923076923","19.23076923076923","19.23076923076923","1802","1802","1802","17.53846153846154","17.53846153846154","17.53846153846154","2703","2703","2703","19.23076923076923","19.23076923076923","19.23076923076923","3604","3604","3604","19.076923076923077","19.076923076923077","19.076923076923077"
"903","1804","1804","1804","18.153846153846153","18.153846153846153","18.153846153846153","1804","1804","1804","18.307692307692307","18.307692307692307","18.307692307692307","1804","1804","1804","19.23076923076923","19.23076923076923","19.23076923076923","1804","1804","1804","18","18","18","2706","2706","2706","20.46153846153846","20.46153846153846","20.46153846153846","3608","3608","3608","17.846153846153847","17.846153846153847","17.846153846153847"
"904","1806","1806","1806","18.615384615384617","18.615384615384617","18.615384615384617","1806","1806","1806","18.307692307692307","18.307692307692307","18.307692307692307","1806","1806","1806","18.923076923076923","18.923076923076923","18.923076923076923","1806","1806","1806","18","18","18","2709","2709","2709","20.153846153846153","20.153846153846153","20.153846153846153","3612","3612","3612","18.46153846153846","18.46153846153846","18.46153846153846"
"905","1808","1808","1808","19.846153846153847","19.846153846153847","19.846153846153847","1808","1808","1808","19.692307692307693","19.692307692307693","19.692307692307693","1808","1808","1808","18","18","18","1808","1808","1808","18.923076923076923","18.923076923076923","18.923076923076923","2712","2712","2712","18.76923076923077","18.76923076923077","18.76923076923077","3616","3616","3616","17.846153846153847","17.846153846153847","17.846153846153847"
"906","1810","1810","1810","18","18","18","1810","1810","1810","17.846153846153847","17.846153846153847","17.846153846153847","1810","1810","1810","18","18","18","1810","1810","1810","18.153846153846153","18.153846153846153","18.153846153846153","2715","2715","2715","18.615384615384617","18.615384615384617","18.615384615384617","3620","3620","3620","19.846153846153847","19.846153846153847","19.846153846153847"
"907","1812","1812","1812","19.846153846153847","19.846153846153847","19.846153846153847","1812","1812","1812","19.53846153846154","19.53846153846154","19.53846153846154","1812","1812","1812","18.153846153846153","18.153846153846153","18.153846153846153","1812","1812","1812","16.615384615384617","16.615384615384617","16.615384615384617","2718","2718","2718","17.23076923076923","17.23076923076923","17.23076923076923","3624","3624","3624","18","18","18"
"908","1814","1814","1814","18.615384615384617","18.615384615384617","18.615384615384617","1814","1814","1814","17.076923076923077","17.076923076923077","17.076923076923077","1814","1814","1814","19.53846153846154","19.53846153846154","19.53846153846154","1814","1814","1814","16.76923076923077","16.76923076923077","16.76923076923077","2721","2721","2721","18.153846153846153","18.153846153846153","18.153846153846153","3628","3628","3628","18.615384615384617","18.615384615384617","18.615384615384617"
"909","1816","1816","1816","18.76923076923077","18.76923076923077","18.76923076923077","1816","1816","1816","18.46153846153846","18.46153846153846","18.46153846153846","1816","1816","1816","18.615384615384617","18.615384615384617","18.615384615384617","1816","1816","1816","18.615384615384617","18.615384615384617","18.615384615384617","2724","2724","2724","18.615384615384617","18.615384615384617","18.615384615384617","3632","3632","3632","18.153846153846153","18.153846153846153","18.153846153846153"
"910","1818","1818","1818","20","20","20","1818","1818","1818","18","18","18","1818","1818","1818","20","20","20","1818","1818","1818","20.307692307692307","20.307692307692307","20.307692307692307","2727","2727","2727","20.153846153846153","20.153846153846153","20.153846153846153","3636","3636","3636","19.846153846153847","19.846153846153847","19.846153846153847"
"911","1820","1820","1820","19.846153846153847","19.846153846153847","19.846153846153847","1820","1820","1820","19.53846153846154","19.53846153846154","19.53846153846154","1820","1820","1820","18.615384615384617","18.615384615384617","18.615384615384617","1820","1820","1820","18.615384615384617","18.615384615384617","18.615384615384617","2730","2730","2730","19.384615384615383","19.384615384615383","19.384615384615383","3640","3640","3640","18.923076923076923","18.923076923076923","18.923076923076923"
"912","1822","1822","1822","18.615384615384617","18.615384615384617","18.615384615384617","1822","1822","1822","17.384615384615383","17.384615384615383","17.384615384615383","1822","1822","1822","19.846153846153847","19.846153846153847","19.846153846153847","1822","1822","1822","18.76923076923077","18.76923076923077","18.76923076923077","2733","2733","2733","19.53846153846154","19.53846153846154","19.53846153846154","3644","3644","3644","18.923076923076923","18.923076923076923","18.923076923076923"
"913","1824","1824","1824","18.46153846153846","18.46153846153846","18.46153846153846","1824","1824","1824","19.23076923076923","19.23076923076923","19.23076923076923","1824","1824","1824","17.846153846153847","17.846153846153847","17.846153846153847","1824","1824","1824","18","18","18","2736","2736","2736","19.076923076923077","19.076923076923077","19.076923076923077","3648","3648","3648","18.615384615384617","18.615384615384617","18.615384615384617"
"914","1826","1826","1826","18.153846153846153","18.153846153846153","18.153846153846153","1826","1826","1826","17.384615384615383","17.384615384615383","17.384615384615383","1826","1826","1826","18.307692307692307","18.307692307692307","18.307692307692307","1826","1826","1826","18.46153846153846","18.46153846153846","18.46153846153846","2739","2739","2739","18.46153846153846","18.46153846153846","18.46153846153846","3652","3652","3652","20.153846153846153","20.153846153846153","20.153846153846153"
"915","1828","1828","1828","19.076923076923077","19.076923076923077","19.076923076923077","1828","1828","1828","17.846153846153847","17.846153846153847","17.846153846153847","1828","1828","1828","18.615384615384617","18.615384615384617","18.615384615384617","1828","1828","1828","19.23076923076923","19.23076923076923","19.23076923076923","2742","2742","2742","18.615384615384617","18.615384615384617","18.615384615384617","3656","3656","3656","18.46153846153846","18.46153846153846","18.46153846153846"
"916","1830","1830","1830","18.46153846153846","18.46153846153846","18.46153846153846","1830","1830","1830","20","20","20","1830","1830","1830","18.76923076923077","18.76923076923077","18.76923076923077","1830","1830","1830","17.846153846153847","17.846153846153847","17.846153846153847","2745","2745","2745","18","18","18","3660","3660","3660","18.76923076923077","18.76923076923077","18.76923076923077"
"917","1832","1832","1832","16.153846153846153","16.153846153846153","16.153846153846153","1832","1832","1832","18.923076923076923","18.923076923076923","18.923076923076923","1832","1832","1832","18.923076923076923","18.923076923076923","18.923076923076923","1832","1832","1832","18.46153846153846","18.46153846153846","18.46153846153846","2748","2748","2748","18.923076923076923","18.923076923076923","18.923076923076923","3664","3664","3664","19.384615384615383","19.384615384615383","19.384615384615383"
"918","1834","1834","1834","18.923076923076923","18.923076923076923","18.923076923076923","1834","1834","1834","18.76923076923077","18.76923076923077","18.76923076923077","1834","1834","1834","18.153846153846153","18.153846153846153","18.153846153846153","1834","1834","1834","18.307692307692307","18.307692307692307","18.307692307692307","2751","2751","2751","20.46153846153846","20.46153846153846","20.46153846153846","3668","3668","3668","19.23076923076923","19.23076923076923","19.23076923076923"
"919","1836","1836","1836","18.615384615384617","18.615384615384617","18.615384615384617","1836","1836","1836","19.384615384615383","19.384615384615383","19.384615384615383","1836","1836","1836","19.076923076923077","19.076923076923077","19.076923076923077","1836","1836","1836","18.76923076923077","18.76923076923077","18.76923076923077","2754","2754","2754","17.692307692307693","17.692307692307693","17.692307692307693","3672","3672","3672","18.76923076923077","18.76923076923077","18.76923076923077"
"920","1838","1838","1838","17.53846153846154","17.53846153846154","17.53846153846154","1838","1838","1838","17.384615384615383","17.384615384615383","17.384615384615383","1838","1838","1838","18.307692307692307","18.307692307692307","18.307692307692307","1838","1838","1838","19.076923076923077","19.076923076923077","19.076923076923077","2757","2757","2757","17.384615384615383","17.384615384615383","17.384615384615383","3676","3676","3676","18.307692307692307","18.307692307692307","18.307692307692307"
"921","1840","1840","1840","19.53846153846154","19.53846153846154","19.53846153846154","1840","1840","1840","19.53846153846154","19.53846153846154","19.53846153846154","1840","1840","1840","19.23076923076923","19.23076923076923","19.23076923076923","1840","1840","1840","18.76923076923077","18.76923076923077","18.76923076923077","2760","2760","2760","18.307692307692307","18.307692307692307","18.307692307692307","3680","3680","3680","19.384615384615383","19.384615384615383","19.384615384615383"
"922","1842","1842","1842","18.153846153846153","18.153846153846153","18.153846153846153","1842","1842","1842","18.615384615384617","18.615384615384617","18.615384615384617","1842","1842","1842","18.307692307692307","18.307692307692307","18.307692307692307","1842","1842","1842","18.76923076923077","18.76923076923077","18.76923076923077","2763","2763","2763","18.76923076923077","18.76923076923077","18.76923076923077","3684","3684","3684","19.692307692307693","19.692307692307693","19.692307692307693"
"923","1844","1844","1844","18.923076923076923","18.923076923076923","18.923076923076923","1844","1844","1844","19.23076923076923","19.23076923076923","19.23076923076923","1844","1844","1844","18.307692307692307","18.307692307692307","18.307692307692307","1844","1844","1844","19.692307692307693","19.692307692307693","19.692307692307693","2766","2766","2766","18.615384615384617","18.615384615384617","18.615384615384617","3688","3688","3688","18.923076923076923","18.923076923076923","18.923076923076923"
"924","1846","1846","1846","18.76923076923077","18.76923076923077","18.76923076923077","1846","1846","1846","18.76923076923077","18.76923076923077","18.76923076923077","1846","1846","1846","19.076923076923077","19.076923076923077","19.076923076923077","1846","1846","1846","19.53846153846154","19.53846153846154","19.53846153846154","2769","2769","2769","19.384615384615383","19.384615384615383","19.384615384615383","3692","3692","3692","18.46153846153846","18.46153846153846","18.46153846153846"
"925","1848","1848","1848","18.923076923076923","18.923076923076923","18.923076923076923","1848","1848","1848","18.615384615384617","18.615384615384617","18.615384615384617","1848","1848","1848","18.76923076923077","18.76923076923077","18.76923076923077","1848","1848","1848","19.23076923076923","19.23076923076923","19.23076923076923","2772","2772","2772","19.384615384615383","19.384615384615383","19.384615384615383","3696","3696","3696","18.76923076923077","18.76923076923077","18.76923076923077"
"926","1850","1850","1850","18.153846153846153","18.153846153846153","18.153846153846153","1850","1850","1850","18.153846153846153","18.153846153846153","18.153846153846153","1850","1850","1850","19.23076923076923","19.23076923076923","19.23076923076923","1850","1850","1850","18.76923076923077","18.76923076923077","18.76923076923077","2775","2775","2775","19.384615384615383","19.384615384615383","19.384615384615383","3700","3700","3700","18.46153846153846","18.46153846153846","18.46153846153846"
"927","1852","1852","1852","18.76923076923077","18.76923076923077","18.76923076923077","1852","1852","1852","18.307692307692307","18.307692307692307","18.307692307692307","1852","1852","1852","19.53846153846154","19.53846153846154","19.53846153846154","1852","1852","1852","18.76923076923077","18.76923076923077","18.76923076923077","2778","2778","2778","20.153846153846153","20.153846153846153","20.153846153846153","3704","3704","3704","17.384615384615383","17.384615384615383","17.384615384615383"
"928","1854","1854","1854","18.46153846153846","18.46153846153846","18.46153846153846","1854","1854","1854","18.923076923076923","18.923076923076923","18.923076923076923","1854","1854","1854","18.923076923076923","18.923076923076923","18.923076923076923","1854","1854","1854","16.923076923076923","16.923076923076923","16.923076923076923","2781","2781","2781","19.384615384615383","19.384615384615383","19.384615384615383","3708","3708","3708","17.846153846153847","17.846153846153847","17.846153846153847"
"929","1856","1856","1856","17.846153846153847","17.846153846153847","17.846153846153847","1856","1856","1856","19.384615384615383","19.384615384615383","19.384615384615383","1856","1856","1856","18.153846153846153","18.153846153846153","18.153846153846153","1856","1856","1856","18.76923076923077","18.76923076923077","18.76923076923077","2784","2784","2784","18.76923076923077","18.76923076923077","18.76923076923077","3712","3712","3712","18.615384615384617","18.615384615384617","18.615384615384617"
"930","1858","1858","1858","19.53846153846154","19.53846153846154","19.53846153846154","1858","1858","1858","19.692307692307693","19.692307692307693","19.692307692307693","1858","1858","1858","17.846153846153847","17.846153846153847","17.846153846153847","1858","1858","1858","18.46153846153846","18.46153846153846","18.46153846153846","2787","2787","2787","18.923076923076923","18.923076923076923","18.923076923076923","3716","3716","3716","19.384615384615383","19.384615384615383","19.384615384615383"
"931","1860","1860","1860","18.615384615384617","18.615384615384617","18.615384615384617","1860","1860","1860","19.53846153846154","19.53846153846154","19.53846153846154","1860","1860","1860","20","20","20","1860","1860","1860","19.53846153846154","19.53846153846154","19.53846153846154","2790","2790","2790","18.615384615384617","18.615384615384617","18.615384615384617","3720","3720","3720","19.384615384615383","19.384615384615383","19.384615384615383"
"932","1862","1862","1862","17.846153846153847","17.846153846153847","17.846153846153847","1862","1862","1862","19.076923076923077","19.076923076923077","19.076923076923077","1862","1862","1862","19.692307692307693","19.692307692307693","19.692307692307693","1862","1862","1862","19.384615384615383","19.384615384615383","19.384615384615383","2793","2793","2793","18.46153846153846","18.46153846153846","18.46153846153846","3724","3724","3724","19.076923076923077","19.076923076923077","19.076923076923077"
"933","1864","1864","1864","18.615384615384617","18.615384615384617","18.615384615384617","1864","1864","1864","18.76923076923077","18.76923076923077","18.76923076923077","1864","1864","1864","19.384615384615383","19.384615384615383","19.384615384615383","1864","1864","1864","17.692307692307693","17.692307692307693","17.692307692307693","2796","2796","2796","19.076923076923077","19.076923076923077","19.076923076923077","3728","3728","3728","18.46153846153846","18.46153846153846","18.46153846153846"
"934","1866","1866","1866","19.53846153846154","19.53846153846154","19.53846153846154","1866","1866","1866","18.923076923076923","18.923076923076923","18.923076923076923","1866","1866","1866","18.76923076923077","18.76923076923077","18.76923076923077","1866","1866","1866","18.923076923076923","18.923076923076923","18.923076923076923","2799","2799","2799","18.307692307692307","18.307692307692307","18.307692307692307","3732","3732","3732","19.23076923076923","19.23076923076923","19.23076923076923"
"935","1868","1868","1868","19.692307692307693","19.692307692307693","19.692307692307693","1868","1868","1868","18.615384615384617","18.615384615384617","18.615384615384617","1868","1868","1868","18.307692307692307","18.307692307692307","18.307692307692307","1868","1868","1868","19.846153846153847","19.846153846153847","19.846153846153847","2802","2802","2802","19.384615384615383","19.384615384615383","19.384615384615383","3736","3736","3736","20","20","20"
"936","1870","1870","1870","19.692307692307693","19.692307692307693","19.692307692307693","1870","1870","1870","18.307692307692307","18.307692307692307","18.307692307692307","1870","1870","1870","19.076923076923077","19.076923076923077","19.076923076923077","1870","1870","1870","20.76923076923077","20.76923076923077","20.76923076923077","2805","2805","2805","19.076923076923077","19.076923076923077","19.076923076923077","3740","3740","3740","18.153846153846153","18.153846153846153","18.153846153846153"
"937","1872","1872","1872","19.846153846153847","19.846153846153847","19.846153846153847","1872","1872","1872","18.46153846153846","18.46153846153846","18.46153846153846","1872","1872","1872","19.384615384615383","19.384615384615383","19.384615384615383","1872","1872","1872","19.692307692307693","19.692307692307693","19.692307692307693","2808","2808","2808","19.53846153846154","19.53846153846154","19.53846153846154","3744","3744","3744","19.53846153846154","19.53846153846154","19.53846153846154"
"938","1874","1874","1874","19.23076923076923","19.23076923076923","19.23076923076923","1874","1874","1874","18.76923076923077","18.76923076923077","18.76923076923077","1874","1874","1874","19.076923076923077","19.076923076923077","19.076923076923077","1874","1874","1874","19.384615384615383","19.384615384615383","19.384615384615383","2811","2811","2811","18.153846153846153","18.153846153846153","18.153846153846153","3748","3748","3748","20","20","20"
"939","1876","1876","1876","20","20","20","1876","1876","1876","19.23076923076923","19.23076923076923","19.23076923076923","1876","1876","1876","18.615384615384617","18.615384615384617","18.615384615384617","1876","1876","1876","18.923076923076923","18.923076923076923","18.923076923076923","2814","2814","2814","18.923076923076923","18.923076923076923","18.923076923076923","3752","3752","3752","18.307692307692307","18.307692307692307","18.307692307692307"
"940","1878","1878","1878","18.153846153846153","18.153846153846153","18.153846153846153","1878","1878","1878","19.076923076923077","19.076923076923077","19.076923076923077","1878","1878","1878","19.53846153846154","19.53846153846154","19.53846153846154","1878","1878","1878","19.076923076923077","19.076923076923077","19.076923076923077","2817","2817","2817","19.53846153846154","19.53846153846154","19.53846153846154","3756","3756","3756","18.153846153846153","18.153846153846153","18.153846153846153"
