epoch,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MAX
113,-812.4,-812.4,-812.4,-873,-873,-873,-928.7,-928.7,-928.7,-682,-682,-682,-910.6,-910.6,-910.6,-763.9,-763.9,-763.9
114,-797.7,-797.7,-797.7,-972.3,-972.3,-972.3,-929.5,-929.5,-929.5,-710.8,-710.8,-710.8,-964.2,-964.2,-964.2,-703.4,-703.4,-703.4
115,-836.6,-836.6,-836.6,-976.8,-976.8,-976.8,-854.3,-854.3,-854.3,-762.8,-762.8,-762.8,-983,-983,-983,-609.9,-609.9,-609.9
116,-826.7,-826.7,-826.7,-908.3,-908.3,-908.3,-921.1,-921.1,-921.1,-713.2,-713.2,-713.2,-991,-991,-991,-746.3,-746.3,-746.3
117,-786.3,-786.3,-786.3,-959.3,-959.3,-959.3,-858.7,-858.7,-858.7,-628.7,-628.7,-628.7,-904.4,-904.4,-904.4,-710.6,-710.6,-710.6
118,-786.5,-786.5,-786.5,-774.2,-774.2,-774.2,-938.2,-938.2,-938.2,-681.3,-681.3,-681.3,-831.5,-831.5,-831.5,-771.3,-771.3,-771.3
119,-699.3,-699.3,-699.3,-898.5,-898.5,-898.5,-779.9,-779.9,-779.9,-719.6,-719.6,-719.6,-862.7,-862.7,-862.7,-660.2,-660.2,-660.2
120,-808.5,-808.5,-808.5,-860.7,-860.7,-860.7,-880.3,-880.3,-880.3,-744.7,-744.7,-744.7,-919.3,-919.3,-919.3,-712,-712,-712
121,-717.2,-717.2,-717.2,-895.9,-895.9,-895.9,-977.1,-977.1,-977.1,-765.9,-765.9,-765.9,-869,-869,-869,-724.8,-724.8,-724.8
122,-784.2,-784.2,-784.2,-902.9,-902.9,-902.9,-971.2,-971.2,-971.2,-896.3,-896.3,-896.3,-902.3,-902.3,-902.3,-767,-767,-767
123,-831.3,-831.3,-831.3,-811.5,-811.5,-811.5,-910.6,-910.6,-910.6,-704.8,-704.8,-704.8,-870.4,-870.4,-870.4,-796.6,-796.6,-796.6
124,-768.1,-768.1,-768.1,-961.7,-961.7,-961.7,-902.4,-902.4,-902.4,-843.9,-843.9,-843.9,-892.6,-892.6,-892.6,-748.1,-748.1,-748.1
125,-805.3,-805.3,-805.3,-918.8,-918.8,-918.8,-731.7,-731.7,-731.7,-750.6,-750.6,-750.6,-894.2,-894.2,-894.2,-806.8,-806.8,-806.8
