epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
197,-512.5,-512.5,-512.5,-450.5,-450.5,-450.5
198,-623.5,-623.5,-623.5,-613,-613,-613
199,-370,-370,-370,-443,-443,-443
200,-488.5,-488.5,-488.5,-446,-446,-446
201,-472,-472,-472,-345,-345,-345
202,-476,-476,-476,-390.5,-390.5,-390.5
203,-608,-608,-608,-642.5,-642.5,-642.5
204,-384,-384,-384,-576,-576,-576
205,-493.5,-493.5,-493.5,-493.5,-493.5,-493.5
206,-311,-311,-311,-341.5,-341.5,-341.5
207,-377.5,-377.5,-377.5,-467,-467,-467
208,-472.5,-472.5,-472.5,-533.5,-533.5,-533.5
209,-521,-521,-521,-517,-517,-517
210,-380,-380,-380,-304,-304,-304
211,-439,-439,-439,-642,-642,-642
212,-502.5,-502.5,-502.5,-482,-482,-482
213,-618,-618,-618,-530,-530,-530
214,-447.5,-447.5,-447.5,-390,-390,-390
215,-427,-427,-427,-491.5,-491.5,-491.5
216,-590.5,-590.5,-590.5,-387,-387,-387
217,-428,-428,-428,-430,-430,-430
218,-390,-390,-390,-440.5,-440.5,-440.5
219,-320,-320,-320,-576.5,-576.5,-576.5
220,-520,-520,-520,-692,-692,-692
221,-409.5,-409.5,-409.5,-566.5,-566.5,-566.5
222,-472.5,-472.5,-472.5,-527,-527,-527
223,-529.5,-529.5,-529.5,-578.5,-578.5,-578.5
224,-496.5,-496.5,-496.5,-416.5,-416.5,-416.5
225,-493.5,-493.5,-493.5,-530,-530,-530
226,-515,-515,-515,-462.5,-462.5,-462.5
227,-490.5,-490.5,-490.5,-530,-530,-530
228,-451.5,-451.5,-451.5,-568.5,-568.5,-568.5
229,-469,-469,-469,-510,-510,-510
230,-533.5,-533.5,-533.5,-502,-502,-502
231,-563,-563,-563,-561.5,-561.5,-561.5
232,-474,-474,-474,-488,-488,-488
233,-624,-624,-624,-510.5,-510.5,-510.5
234,-444,-444,-444,-469,-469,-469
235,-528.5,-528.5,-528.5,-455,-455,-455
236,-594.5,-594.5,-594.5,-470,-470,-470
237,-497.5,-497.5,-497.5,-540,-540,-540
238,-378.5,-378.5,-378.5,-422.5,-422.5,-422.5
239,-386.5,-386.5,-386.5,-314,-314,-314
240,-550,-550,-550,-539,-539,-539
241,-383,-383,-383,-562,-562,-562
242,-386,-386,-386,-411.5,-411.5,-411.5
243,-431,-431,-431,-458,-458,-458
244,-351.5,-351.5,-351.5,-405,-405,-405
245,-501.5,-501.5,-501.5,-466.5,-466.5,-466.5
246,-498.5,-498.5,-498.5,-430,-430,-430
247,-470.5,-470.5,-470.5,-651.5,-651.5,-651.5
248,-557,-557,-557,-374.5,-374.5,-374.5
249,-393,-393,-393,-564,-564,-564
250,-481,-481,-481,-484,-484,-484
