"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MAX"
"166","-728.1","-728.1","-728.1","-605","-605","-605"
"167","-769.3","-769.3","-769.3","-684","-684","-684"
"168","-690.2","-690.2","-690.2","-777.5","-777.5","-777.5"
"169","-687.8","-687.8","-687.8","-778.6","-778.6","-778.6"
"170","-663.2","-663.2","-663.2","-786.5","-786.5","-786.5"
"171","-689.9","-689.9","-689.9","-702.6","-702.6","-702.6"
"172","-744.1","-744.1","-744.1","-705.5","-705.5","-705.5"
"173","-705.6","-705.6","-705.6","-724.3","-724.3","-724.3"
"174","-751.1","-751.1","-751.1","-631.8","-631.8","-631.8"
"175","-718.9","-718.9","-718.9","-676.1","-676.1","-676.1"
"176","-699.7","-699.7","-699.7","-711","-711","-711"
"177","-775.9","-775.9","-775.9","-660.1","-660.1","-660.1"
"178","-650.2","-650.2","-650.2","-703.5","-703.5","-703.5"
"179","-717.1","-717.1","-717.1","-664.9","-664.9","-664.9"
"180","-782.5","-782.5","-782.5","-710.5","-710.5","-710.5"
"181","-623","-623","-623","-752.6","-752.6","-752.6"
"182","-710.9","-710.9","-710.9","-760","-760","-760"
"183","-698.1","-698.1","-698.1","-620","-620","-620"
"184","-726.7","-726.7","-726.7","-658.2","-658.2","-658.2"
"185","-673.5","-673.5","-673.5","-693.4","-693.4","-693.4"
"186","-707.4","-707.4","-707.4","-795","-795","-795"
"187","-750.3","-750.3","-750.3","-742.5","-742.5","-742.5"
"188","-754","-754","-754","-631.6","-631.6","-631.6"
"189","-653.4","-653.4","-653.4","-807.7","-807.7","-807.7"
"190","-647.7","-647.7","-647.7","-766.1","-766.1","-766.1"
"191","-723.1","-723.1","-723.1","-669.9","-669.9","-669.9"
"192","-814.2","-814.2","-814.2","-745","-745","-745"
"193","-695.9","-695.9","-695.9","-637.1","-637.1","-637.1"
"194","-746.3","-746.3","-746.3","-733.1","-733.1","-733.1"
"195","-713.2","-713.2","-713.2","-738.2","-738.2","-738.2"
"196","-648.5","-648.5","-648.5","-803.2","-803.2","-803.2"
"197","-675.8","-675.8","-675.8","-717.8","-717.8","-717.8"
"198","-622.8","-622.8","-622.8","-675.8","-675.8","-675.8"
"199","-661.9","-661.9","-661.9","-640.3","-640.3","-640.3"
"200","-712","-712","-712","-655.9","-655.9","-655.9"
"201","-757.4","-757.4","-757.4","-650.5","-650.5","-650.5"
"202","-800","-800","-800","-779.6","-779.6","-779.6"
"203","-700.5","-700.5","-700.5","-686.6","-686.6","-686.6"
"204","-666.6","-666.6","-666.6","-719.1","-719.1","-719.1"
"205","-666.7","-666.7","-666.7","-720.9","-720.9","-720.9"
"206","-688.4","-688.4","-688.4","-644.4","-644.4","-644.4"
"207","-711.5","-711.5","-711.5","-685.7","-685.7","-685.7"
"208","-734.1","-734.1","-734.1","-638.2","-638.2","-638.2"
"209","-694.2","-694.2","-694.2","-628.2","-628.2","-628.2"
"210","-607.4","-607.4","-607.4","-771.1","-771.1","-771.1"
"211","-724.3","-724.3","-724.3","-600.1","-600.1","-600.1"
"212","-677","-677","-677","-711.9","-711.9","-711.9"
"213","-717.1","-717.1","-717.1","-683","-683","-683"
"214","-719","-719","-719","-694.5","-694.5","-694.5"
"215","-713.7","-713.7","-713.7","-709.4","-709.4","-709.4"
"216","-683.4","-683.4","-683.4","-736.2","-736.2","-736.2"
"217","-690.5","-690.5","-690.5","-709.7","-709.7","-709.7"
"218","-612.7","-612.7","-612.7","-624.4","-624.4","-624.4"
"219","-670.9","-670.9","-670.9","-702.6","-702.6","-702.6"
"220","-718.2","-718.2","-718.2","-734.7","-734.7","-734.7"
"221","-670.7","-670.7","-670.7","-687.8","-687.8","-687.8"
"222","-673.6","-673.6","-673.6","-610.9","-610.9","-610.9"
"223","-603.4","-603.4","-603.4","-624.8","-624.8","-624.8"
"224","-759.9","-759.9","-759.9","-744.9","-744.9","-744.9"
"225","-762.7","-762.7","-762.7","-782.2","-782.2","-782.2"
"226","-704","-704","-704","-742.5","-742.5","-742.5"
"227","-735.4","-735.4","-735.4","-815.3","-815.3","-815.3"
"228","-625.2","-625.2","-625.2","-774.3","-774.3","-774.3"
"229","-589.7","-589.7","-589.7","-730.5","-730.5","-730.5"
"230","-734.2","-734.2","-734.2","-788.8","-788.8","-788.8"
"231","-604.6","-604.6","-604.6","-636.1","-636.1","-636.1"
"232","-683.8","-683.8","-683.8","-692","-692","-692"
"233","-753.6","-753.6","-753.6","-600.6","-600.6","-600.6"
"234","-641.1","-641.1","-641.1","-759.4","-759.4","-759.4"
"235","-681.5","-681.5","-681.5","-662.7","-662.7","-662.7"
"236","-727.3","-727.3","-727.3","-637.6","-637.6","-637.6"
"237","-696.9","-696.9","-696.9","-584.5","-584.5","-584.5"
"238","-748.7","-748.7","-748.7","-810","-810","-810"
"239","-758.1","-758.1","-758.1","-561.3","-561.3","-561.3"
"240","-745.5","-745.5","-745.5","-706.5","-706.5","-706.5"
"241","-658","-658","-658","-604.2","-604.2","-604.2"
"242","-763.7","-763.7","-763.7","-734","-734","-734"
"243","-713.7","-713.7","-713.7","-636.4","-636.4","-636.4"
"244","-633.9","-633.9","-633.9","-681.2","-681.2","-681.2"
"245","-714.7","-714.7","-714.7","-774","-774","-774"
"246","-730","-730","-730","-765.3","-765.3","-765.3"
"247","-683.6","-683.6","-683.6","-603.8","-603.8","-603.8"
"248","-750.1","-750.1","-750.1","-728.6","-728.6","-728.6"
"249","-739.2","-739.2","-739.2","-756.8","-756.8","-756.8"
"250","-648.1","-648.1","-648.1","-660.8","-660.8","-660.8"
"251","-602.8","-602.8","-602.8","-750.6","-750.6","-750.6"
"252","-667.3","-667.3","-667.3","-587.7","-587.7","-587.7"
"253","-649.3","-649.3","-649.3","-661.6","-661.6","-661.6"
"254","-723.2","-723.2","-723.2","-669.5","-669.5","-669.5"
"255","-691.7","-691.7","-691.7","-711.8","-711.8","-711.8"
"256","-728","-728","-728","-697.7","-697.7","-697.7"
"257","-679.7","-679.7","-679.7","-691.8","-691.8","-691.8"
"258","-727.9","-727.9","-727.9","-745.1","-745.1","-745.1"
"259","-709.2","-709.2","-709.2","-660.3","-660.3","-660.3"
"260","-734.1","-734.1","-734.1","-611.6","-611.6","-611.6"
"261","-705.4","-705.4","-705.4","-695.6","-695.6","-695.6"
"262","-736.3","-736.3","-736.3","-667.3","-667.3","-667.3"
"263","-662.1","-662.1","-662.1","-735.5","-735.5","-735.5"
"264","-728.5","-728.5","-728.5","-769.1","-769.1","-769.1"
"265","-750.8","-750.8","-750.8","-683.6","-683.6","-683.6"
"266","-670.4","-670.4","-670.4","-657.6","-657.6","-657.6"
"267","-631.8","-631.8","-631.8","-714.5","-714.5","-714.5"
"268","-740.4","-740.4","-740.4","-679.4","-679.4","-679.4"
"269","-702.1","-702.1","-702.1","-702.9","-702.9","-702.9"
"270","-657.2","-657.2","-657.2","-608.7","-608.7","-608.7"
"271","-695.4","-695.4","-695.4","-765.1","-765.1","-765.1"
"272","-651.1","-651.1","-651.1","-713","-713","-713"
"273","-773.5","-773.5","-773.5","-671.6","-671.6","-671.6"
"274","-698.1","-698.1","-698.1","-690.4","-690.4","-690.4"
"275","-687.9","-687.9","-687.9","-673.9","-673.9","-673.9"
"276","-663.6","-663.6","-663.6","-683.3","-683.3","-683.3"
"277","-637.2","-637.2","-637.2","-677.3","-677.3","-677.3"
"278","-704.7","-704.7","-704.7","-613.5","-613.5","-613.5"
"279","-648.5","-648.5","-648.5","-677.3","-677.3","-677.3"
"280","-782.9","-782.9","-782.9","-677.8","-677.8","-677.8"
"281","-691.9","-691.9","-691.9","-588.8","-588.8","-588.8"
"282","-726.8","-726.8","-726.8","-643.6","-643.6","-643.6"
"283","-716.9","-716.9","-716.9","-649.5","-649.5","-649.5"
"284","-704.6","-704.6","-704.6","-758.9","-758.9","-758.9"
"285","-708.9","-708.9","-708.9","-699.7","-699.7","-699.7"
"286","-637.8","-637.8","-637.8","-720.3","-720.3","-720.3"
"287","-697.1","-697.1","-697.1","-705.8","-705.8","-705.8"
"288","-631.1","-631.1","-631.1","-658.3","-658.3","-658.3"
"289","-735.6","-735.6","-735.6","-629.9","-629.9","-629.9"
"290","-687.2","-687.2","-687.2","-704.2","-704.2","-704.2"
"291","-628.7","-628.7","-628.7","-613.5","-613.5","-613.5"
"292","-785.6","-785.6","-785.6","-726.3","-726.3","-726.3"
"293","-751.7","-751.7","-751.7","-655.4","-655.4","-655.4"
"294","-765.4","-765.4","-765.4","-684.1","-684.1","-684.1"
"295","-654.6","-654.6","-654.6","-677","-677","-677"
"296","-711.4","-711.4","-711.4","-667","-667","-667"
"297","-737.7","-737.7","-737.7","-663.3","-663.3","-663.3"
"298","-763.2","-763.2","-763.2","-673.5","-673.5","-673.5"
"299","-717.7","-717.7","-717.7","-666.7","-666.7","-666.7"
"300","-640.7","-640.7","-640.7","-638.2","-638.2","-638.2"
"301","-749.1","-749.1","-749.1","-553.4","-553.4","-553.4"
"302","-628.6","-628.6","-628.6","-708.8","-708.8","-708.8"
"303","-798.8","-798.8","-798.8","-719","-719","-719"
"304","-746.7","-746.7","-746.7","-601.9","-601.9","-601.9"
"305","-605.3","-605.3","-605.3","-674.1","-674.1","-674.1"
"306","-707.8","-707.8","-707.8","-600.1","-600.1","-600.1"
"307","-631.4","-631.4","-631.4","-766.2","-766.2","-766.2"
"308","-728.9","-728.9","-728.9","-724.6","-724.6","-724.6"
"309","-678.1","-678.1","-678.1","-626.9","-626.9","-626.9"
"310","-712.8","-712.8","-712.8","-719.9","-719.9","-719.9"
"311","-641.6","-641.6","-641.6","-626.5","-626.5","-626.5"
"312","-704.6","-704.6","-704.6","-653.9","-653.9","-653.9"
"313","-650.5","-650.5","-650.5","-542.3","-542.3","-542.3"
"314","-607.5","-607.5","-607.5","-713.3","-713.3","-713.3"
"315","-636.3","-636.3","-636.3","-718.4","-718.4","-718.4"
"316","-642.3","-642.3","-642.3","-676.3","-676.3","-676.3"
"317","-810.8","-810.8","-810.8","-635.9","-635.9","-635.9"
"318","-732.1","-732.1","-732.1","-720.6","-720.6","-720.6"
"319","-646.8","-646.8","-646.8","-620.1","-620.1","-620.1"
"320","-672.8","-672.8","-672.8","-684.6","-684.6","-684.6"
"321","-659.2","-659.2","-659.2","-671.3","-671.3","-671.3"
"322","-756.2","-756.2","-756.2","-629.2","-629.2","-629.2"
"323","-770","-770","-770","-632.7","-632.7","-632.7"
"324","-728.7","-728.7","-728.7","-725.3","-725.3","-725.3"
"325","-690.1","-690.1","-690.1","-674.9","-674.9","-674.9"
"326","-722.3","-722.3","-722.3","-712.8","-712.8","-712.8"
"327","-775.6","-775.6","-775.6","-621.1","-621.1","-621.1"
"328","-821.2","-821.2","-821.2","-694.1","-694.1","-694.1"
"329","-627","-627","-627","-730","-730","-730"
"330","-673.3","-673.3","-673.3","-581.2","-581.2","-581.2"
"331","-696.4","-696.4","-696.4","-667.8","-667.8","-667.8"
"332","-657.2","-657.2","-657.2","-615.1","-615.1","-615.1"
"333","-699.7","-699.7","-699.7","-702.9","-702.9","-702.9"
"334","-630.4","-630.4","-630.4","-644.6","-644.6","-644.6"
"335","-732.4","-732.4","-732.4","-581.3","-581.3","-581.3"
"336","-712.5","-712.5","-712.5","-606.1","-606.1","-606.1"
"337","-593.6","-593.6","-593.6","-715.4","-715.4","-715.4"
"338","-779.6","-779.6","-779.6","-646.3","-646.3","-646.3"
"339","-716","-716","-716","-644.3","-644.3","-644.3"
"340","-644.4","-644.4","-644.4","-753.5","-753.5","-753.5"
"341","-678.2","-678.2","-678.2","-712.3","-712.3","-712.3"
"342","-695.9","-695.9","-695.9","-676.9","-676.9","-676.9"
"343","-692.4","-692.4","-692.4","-648.8","-648.8","-648.8"
"344","-747.2","-747.2","-747.2","-694","-694","-694"
"345","-737.4","-737.4","-737.4","-659.2","-659.2","-659.2"
"346","-781.2","-781.2","-781.2","-671.7","-671.7","-671.7"
"347","-686","-686","-686","-602.8","-602.8","-602.8"
"348","-737.9","-737.9","-737.9","-673.1","-673.1","-673.1"
"349","-655.7","-655.7","-655.7","-640.7","-640.7","-640.7"
"350","-736.1","-736.1","-736.1","-640.7","-640.7","-640.7"
"351","-658.3","-658.3","-658.3","-658.7","-658.7","-658.7"
"352","-636.7","-636.7","-636.7","-614.9","-614.9","-614.9"
"353","-767.8","-767.8","-767.8","-641.3","-641.3","-641.3"
"354","-688.9","-688.9","-688.9","-674","-674","-674"
"355","-710.7","-710.7","-710.7","-721","-721","-721"
"356","-641.4","-641.4","-641.4","-647.8","-647.8","-647.8"
"357","-767.9","-767.9","-767.9","-734.2","-734.2","-734.2"
"358","-701.8","-701.8","-701.8","-671.1","-671.1","-671.1"
"359","-766.4","-766.4","-766.4","-645.4","-645.4","-645.4"
"360","-716.5","-716.5","-716.5","-587.6","-587.6","-587.6"
"361","-756","-756","-756","-774.4","-774.4","-774.4"
"362","-708.7","-708.7","-708.7","-615.4","-615.4","-615.4"
"363","-691.8","-691.8","-691.8","-649.4","-649.4","-649.4"
"364","-819.4","-819.4","-819.4","-558.9","-558.9","-558.9"
"365","-717.6","-717.6","-717.6","-574.1","-574.1","-574.1"
"366","-613.5","-613.5","-613.5","-548.3","-548.3","-548.3"
"367","-737.5","-737.5","-737.5","-643.9","-643.9","-643.9"
"368","-699","-699","-699","-688.4","-688.4","-688.4"
"369","-726.1","-726.1","-726.1","-662.6","-662.6","-662.6"
"370","-678","-678","-678","-660.3","-660.3","-660.3"
"371","-768.6","-768.6","-768.6","-647.4","-647.4","-647.4"
"372","-667.9","-667.9","-667.9","-626.7","-626.7","-626.7"
"373","-748.7","-748.7","-748.7","-676.6","-676.6","-676.6"
"374","-703.9","-703.9","-703.9","-651.8","-651.8","-651.8"
"375","-677.1","-677.1","-677.1","-623","-623","-623"
"376","-635.4","-635.4","-635.4","-652.6","-652.6","-652.6"
"377","-663.9","-663.9","-663.9","-591.4","-591.4","-591.4"
"378","-709.6","-709.6","-709.6","-626.6","-626.6","-626.6"
"379","-705.7","-705.7","-705.7","-601.1","-601.1","-601.1"
"380","-638.7","-638.7","-638.7","-654.2","-654.2","-654.2"
"381","-692.3","-692.3","-692.3","-633.5","-633.5","-633.5"
"382","-641.1","-641.1","-641.1","-579.3","-579.3","-579.3"
"383","-665.1","-665.1","-665.1","-601.2","-601.2","-601.2"
"384","-703.8","-703.8","-703.8","-635.9","-635.9","-635.9"
"385","-669.1","-669.1","-669.1","-698.1","-698.1","-698.1"
"386","-645.9","-645.9","-645.9","-636.4","-636.4","-636.4"
"387","-781.1","-781.1","-781.1","-674","-674","-674"
"388","-653.8","-653.8","-653.8","-691.3","-691.3","-691.3"
"389","-645.5","-645.5","-645.5","-591.1","-591.1","-591.1"
"390","-741.5","-741.5","-741.5","-553.4","-553.4","-553.4"
"391","-677.8","-677.8","-677.8","-648","-648","-648"
"392","-716.8","-716.8","-716.8","-684","-684","-684"
"393","-734.3","-734.3","-734.3","-598","-598","-598"
"394","-804","-804","-804","-650.5","-650.5","-650.5"
