epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
358,-347.6,-347.6,-347.6,-355.9,-355.9,-355.9
359,-355.1,-355.1,-355.1,-356.1,-356.1,-356.1
360,-332.6,-332.6,-332.6,-403.1,-403.1,-403.1
361,-411.6,-411.6,-411.6,-351.1,-351.1,-351.1
362,-365.1,-365.1,-365.1,-363.1,-363.1,-363.1
363,-335.3,-335.3,-335.3,-351.4,-351.4,-351.4
364,-408.1,-408.1,-408.1,-358.3,-358.3,-358.3
365,-374.9,-374.9,-374.9,-371.9,-371.9,-371.9
366,-361.5,-361.5,-361.5,-358.4,-358.4,-358.4
367,-392.6,-392.6,-392.6,-391.9,-391.9,-391.9
368,-348.2,-348.2,-348.2,-360.6,-360.6,-360.6
369,-353.2,-353.2,-353.2,-382.6,-382.6,-382.6
370,-370,-370,-370,-345.8,-345.8,-345.8
371,-370.6,-370.6,-370.6,-386.6,-386.6,-386.6
372,-368.8,-368.8,-368.8,-366.5,-366.5,-366.5
373,-335.9,-335.9,-335.9,-320.9,-320.9,-320.9
374,-346.8,-346.8,-346.8,-405.2,-405.2,-405.2
375,-379.6,-379.6,-379.6,-356.3,-356.3,-356.3
376,-346.8,-346.8,-346.8,-377.2,-377.2,-377.2
377,-351.5,-351.5,-351.5,-321.8,-321.8,-321.8
378,-335.9,-335.9,-335.9,-389.9,-389.9,-389.9
379,-343.2,-343.2,-343.2,-338.5,-338.5,-338.5
380,-372.2,-372.2,-372.2,-339.3,-339.3,-339.3
381,-393.3,-393.3,-393.3,-330.1,-330.1,-330.1
382,-357,-357,-357,-406.8,-406.8,-406.8
383,-387.4,-387.4,-387.4,-353.2,-353.2,-353.2
384,-423.9,-423.9,-423.9,-346.4,-346.4,-346.4
385,-354.2,-354.2,-354.2,-344.2,-344.2,-344.2
386,-353.3,-353.3,-353.3,-382.1,-382.1,-382.1
387,-333.4,-333.4,-333.4,-388.5,-388.5,-388.5
388,-361.8,-361.8,-361.8,-386.5,-386.5,-386.5
389,-418.5,-418.5,-418.5,-361,-361,-361
390,-394.3,-394.3,-394.3,-361.3,-361.3,-361.3
391,-328.8,-328.8,-328.8,-317.8,-317.8,-317.8
392,-387.4,-387.4,-387.4,-411.3,-411.3,-411.3
393,-352.5,-352.5,-352.5,-476.6,-476.6,-476.6
394,-387.9,-387.9,-387.9,-357.5,-357.5,-357.5
395,-369.6,-369.6,-369.6,-321.5,-321.5,-321.5
396,-354.5,-354.5,-354.5,-376.5,-376.5,-376.5
397,-359.8,-359.8,-359.8,-403.4,-403.4,-403.4
398,-351.3,-351.3,-351.3,-337.8,-337.8,-337.8
399,-401.2,-401.2,-401.2,-355,-355,-355
400,-269.3,-269.3,-269.3,-362.1,-362.1,-362.1
401,-349.7,-349.7,-349.7,-419.3,-419.3,-419.3
402,-375.8,-375.8,-375.8,-365.6,-365.6,-365.6
403,-340,-340,-340,-403.2,-403.2,-403.2
404,-347.6,-347.6,-347.6,-362.2,-362.2,-362.2
405,-389.5,-389.5,-389.5,-400.1,-400.1,-400.1
406,-387.4,-387.4,-387.4,-371.4,-371.4,-371.4
407,-328.3,-328.3,-328.3,-337.2,-337.2,-337.2
408,-368.5,-368.5,-368.5,-388.1,-388.1,-388.1
409,-345,-345,-345,-340.5,-340.5,-340.5
410,-368.9,-368.9,-368.9,-339.2,-339.2,-339.2
411,-360.8,-360.8,-360.8,-364.7,-364.7,-364.7
412,-351.2,-351.2,-351.2,-359.6,-359.6,-359.6
413,-328.4,-328.4,-328.4,-341.6,-341.6,-341.6
414,-415.7,-415.7,-415.7,-372.6,-372.6,-372.6
415,-341.5,-341.5,-341.5,-395.2,-395.2,-395.2
416,-402.7,-402.7,-402.7,-347.6,-347.6,-347.6
417,-358.1,-358.1,-358.1,-374.9,-374.9,-374.9
418,-370.2,-370.2,-370.2,-308.9,-308.9,-308.9
419,-319.7,-319.7,-319.7,-386,-386,-386
420,-374.4,-374.4,-374.4,-429.9,-429.9,-429.9
