epoch,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX
43,153.4736842,153.4736842,153.4736842,270.6842105,270.6842105,270.6842105,57.94736842,57.94736842,57.94736842,55,55,55,114.2631579,114.2631579,114.2631579,154.8421053,154.8421053,154.8421053
44,137.3157895,137.3157895,137.3157895,175.1578947,175.1578947,175.1578947,135.7894737,135.7894737,135.7894737,42.57894737,42.57894737,42.57894737,131.3157895,131.3157895,131.3157895,192.1052632,192.1052632,192.1052632
45,136.4210526,136.4210526,136.4210526,213.4210526,213.4210526,213.4210526,111.5263158,111.5263158,111.5263158,37.57894737,37.57894737,37.57894737,108.7894737,108.7894737,108.7894737,202.3157895,202.3157895,202.3157895
46,136.0526316,136.0526316,136.0526316,232.6842105,232.6842105,232.6842105,188.7894737,188.7894737,188.7894737,70.57894737,70.57894737,70.57894737,114.4736842,114.4736842,114.4736842,192.0526316,192.0526316,192.0526316
47,109.5263158,109.5263158,109.5263158,192.3157895,192.3157895,192.3157895,142.6842105,142.6842105,142.6842105,49.68421053,49.68421053,49.68421053,77.57894737,77.57894737,77.57894737,195.3157895,195.3157895,195.3157895
48,142.2105263,142.2105263,142.2105263,192.4736842,192.4736842,192.4736842,103.5263158,103.5263158,103.5263158,53.57894737,53.57894737,53.57894737,111.3684211,111.3684211,111.3684211,189,189,189
49,138.1578947,138.1578947,138.1578947,175.5789474,175.5789474,175.5789474,142.6315789,142.6315789,142.6315789,31.89473684,31.89473684,31.89473684,115.0526316,115.0526316,115.0526316,179,179,179
50,147.6315789,147.6315789,147.6315789,213.6842105,213.6842105,213.6842105,119.2105263,119.2105263,119.2105263,49.73684211,49.73684211,49.73684211,77.42105263,77.42105263,77.42105263,204.7368421,204.7368421,204.7368421
51,141.7894737,141.7894737,141.7894737,260.5789474,260.5789474,260.5789474,119.0526316,119.0526316,119.0526316,36.05263158,36.05263158,36.05263158,70.84210526,70.84210526,70.84210526,230.2631579,230.2631579,230.2631579
52,139.7368421,139.7368421,139.7368421,267.3684211,267.3684211,267.3684211,97.31578947,97.31578947,97.31578947,28.57894737,28.57894737,28.57894737,78.89473684,78.89473684,78.89473684,284.5789474,284.5789474,284.5789474
53,135.2631579,135.2631579,135.2631579,282.8421053,282.8421053,282.8421053,142.0526316,142.0526316,142.0526316,24.84210526,24.84210526,24.84210526,102.6315789,102.6315789,102.6315789,197.3684211,197.3684211,197.3684211
54,132.3157895,132.3157895,132.3157895,245.1578947,245.1578947,245.1578947,167.6315789,167.6315789,167.6315789,55.78947368,55.78947368,55.78947368,78.15789474,78.15789474,78.15789474,198.9473684,198.9473684,198.9473684
55,130.8947368,130.8947368,130.8947368,225.2631579,225.2631579,225.2631579,160.7894737,160.7894737,160.7894737,25.89473684,25.89473684,25.89473684,59.42105263,59.42105263,59.42105263,246.8421053,246.8421053,246.8421053
56,173.2105263,173.2105263,173.2105263,304.4736842,304.4736842,304.4736842,141.7894737,141.7894737,141.7894737,18.26315789,18.26315789,18.26315789,99.36842105,99.36842105,99.36842105,214.6315789,214.6315789,214.6315789
57,101.8947368,101.8947368,101.8947368,306.6842105,306.6842105,306.6842105,87,87,87,66.21052632,66.21052632,66.21052632,96.31578947,96.31578947,96.31578947,195.0526316,195.0526316,195.0526316
58,163,163,163,234.2105263,234.2105263,234.2105263,193.3157895,193.3157895,193.3157895,23.42105263,23.42105263,23.42105263,114,114,114,178.1052632,178.1052632,178.1052632
59,205.6315789,205.6315789,205.6315789,218.4210526,218.4210526,218.4210526,153.6842105,153.6842105,153.6842105,25.31578947,25.31578947,25.31578947,82.84210526,82.84210526,82.84210526,154.8947368,154.8947368,154.8947368
60,130.5789474,130.5789474,130.5789474,278.9473684,278.9473684,278.9473684,162,162,162,41.10526316,41.10526316,41.10526316,139.5263158,139.5263158,139.5263158,222,222,222
61,132.4210526,132.4210526,132.4210526,395.6315789,395.6315789,395.6315789,143.3684211,143.3684211,143.3684211,49.63157895,49.63157895,49.63157895,209.1052632,209.1052632,209.1052632,202.1052632,202.1052632,202.1052632
62,176.3157895,176.3157895,176.3157895,292.4210526,292.4210526,292.4210526,164.3157895,164.3157895,164.3157895,25.42105263,25.42105263,25.42105263,148.0526316,148.0526316,148.0526316,223.5789474,223.5789474,223.5789474
63,176.7894737,176.7894737,176.7894737,277.2105263,277.2105263,277.2105263,190.8947368,190.8947368,190.8947368,61.21052632,61.21052632,61.21052632,150.3684211,150.3684211,150.3684211,217.6315789,217.6315789,217.6315789
64,193.2105263,193.2105263,193.2105263,260.3157895,260.3157895,260.3157895,186.1578947,186.1578947,186.1578947,46.73684211,46.73684211,46.73684211,98.94736842,98.94736842,98.94736842,247.0526316,247.0526316,247.0526316
65,136.3157895,136.3157895,136.3157895,286.3157895,286.3157895,286.3157895,230.5789474,230.5789474,230.5789474,43.89473684,43.89473684,43.89473684,151.9473684,151.9473684,151.9473684,125.1578947,125.1578947,125.1578947
66,143.4736842,143.4736842,143.4736842,259.9473684,259.9473684,259.9473684,131.3684211,131.3684211,131.3684211,41.68421053,41.68421053,41.68421053,97.15789474,97.15789474,97.15789474,189.8947368,189.8947368,189.8947368
67,175,175,175,297.2631579,297.2631579,297.2631579,98.63157895,98.63157895,98.63157895,39.73684211,39.73684211,39.73684211,152.3684211,152.3684211,152.3684211,197,197,197
68,104.6315789,104.6315789,104.6315789,288.9473684,288.9473684,288.9473684,160.3157895,160.3157895,160.3157895,48.42105263,48.42105263,48.42105263,131.5263158,131.5263158,131.5263158,271.5263158,271.5263158,271.5263158
69,120.6842105,120.6842105,120.6842105,237.7894737,237.7894737,237.7894737,112.6315789,112.6315789,112.6315789,51.47368421,51.47368421,51.47368421,152.1578947,152.1578947,152.1578947,228.4736842,228.4736842,228.4736842
70,163.3684211,163.3684211,163.3684211,271.8947368,271.8947368,271.8947368,225.5789474,225.5789474,225.5789474,81.63157895,81.63157895,81.63157895,104.4736842,104.4736842,104.4736842,264.5263158,264.5263158,264.5263158
71,116.7368421,116.7368421,116.7368421,216.7894737,216.7894737,216.7894737,164.4210526,164.4210526,164.4210526,44,44,44,175.1052632,175.1052632,175.1052632,171.7894737,171.7894737,171.7894737
72,193.6842105,193.6842105,193.6842105,247.3684211,247.3684211,247.3684211,154.4736842,154.4736842,154.4736842,119.9473684,119.9473684,119.9473684,97.31578947,97.31578947,97.31578947,171.1052632,171.1052632,171.1052632
73,165.7894737,165.7894737,165.7894737,165.4736842,165.4736842,165.4736842,150.5263158,150.5263158,150.5263158,93.52631579,93.52631579,93.52631579,141.3157895,141.3157895,141.3157895,262.1052632,262.1052632,262.1052632
74,170.1052632,170.1052632,170.1052632,239.7894737,239.7894737,239.7894737,223.3157895,223.3157895,223.3157895,112.0526316,112.0526316,112.0526316,108.7894737,108.7894737,108.7894737,259.7368421,259.7368421,259.7368421
75,212.6315789,212.6315789,212.6315789,233.6842105,233.6842105,233.6842105,186,186,186,31.15789474,31.15789474,31.15789474,117.6315789,117.6315789,117.6315789,204.0526316,204.0526316,204.0526316
76,161.8947368,161.8947368,161.8947368,240.5263158,240.5263158,240.5263158,227.6315789,227.6315789,227.6315789,91.21052632,91.21052632,91.21052632,93.89473684,93.89473684,93.89473684,216.3684211,216.3684211,216.3684211
77,178.3684211,178.3684211,178.3684211,243.2105263,243.2105263,243.2105263,180.4210526,180.4210526,180.4210526,91.89473684,91.89473684,91.89473684,160.4736842,160.4736842,160.4736842,223.5789474,223.5789474,223.5789474
78,196.1052632,196.1052632,196.1052632,266.6315789,266.6315789,266.6315789,131.4736842,131.4736842,131.4736842,146.2631579,146.2631579,146.2631579,122.3684211,122.3684211,122.3684211,172.3157895,172.3157895,172.3157895
