"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MAX"
"101","-680.7","-680.7","-680.7","-405.4","-405.4","-405.4","-553.4","-553.4","-553.4","-494.5","-494.5","-494.5","-417.5","-417.5","-417.5","-650.2","-650.2","-650.2"
"102","-604.4","-604.4","-604.4","-421.4","-421.4","-421.4","-468.9","-468.9","-468.9","-519.1","-519.1","-519.1","-451.8","-451.8","-451.8","-616.9","-616.9","-616.9"
"103","-698.6","-698.6","-698.6","-358","-358","-358","-526.1","-526.1","-526.1","-497.9","-497.9","-497.9","-463.1","-463.1","-463.1","-738","-738","-738"
"104","-648.1","-648.1","-648.1","-417.3","-417.3","-417.3","-490.8","-490.8","-490.8","-567","-567","-567","-458.1","-458.1","-458.1","-625.4","-625.4","-625.4"
"105","-733.4","-733.4","-733.4","-388.7","-388.7","-388.7","-513.2","-513.2","-513.2","-542.8","-542.8","-542.8","-377.3","-377.3","-377.3","-692.3","-692.3","-692.3"
"106","-764.8","-764.8","-764.8","-360.2","-360.2","-360.2","-495.2","-495.2","-495.2","-475.3","-475.3","-475.3","-362.4","-362.4","-362.4","-687.6","-687.6","-687.6"
"107","-674.4","-674.4","-674.4","-452.2","-452.2","-452.2","-558.3","-558.3","-558.3","-521.9","-521.9","-521.9","-361.6","-361.6","-361.6","-743.8","-743.8","-743.8"
"108","-702.8","-702.8","-702.8","-412.5","-412.5","-412.5","-543.6","-543.6","-543.6","-502.9","-502.9","-502.9","-438.7","-438.7","-438.7","-692.6","-692.6","-692.6"
"109","-625.1","-625.1","-625.1","-360","-360","-360","-552.2","-552.2","-552.2","-499.7","-499.7","-499.7","-415.7","-415.7","-415.7","-677.8","-677.8","-677.8"
"110","-600.5","-600.5","-600.5","-362","-362","-362","-516.7","-516.7","-516.7","-550.4","-550.4","-550.4","-404.1","-404.1","-404.1","-658","-658","-658"
"111","-672.1","-672.1","-672.1","-440.7","-440.7","-440.7","-547.3","-547.3","-547.3","-561.5","-561.5","-561.5","-374.7","-374.7","-374.7","-726.9","-726.9","-726.9"
"112","-742.4","-742.4","-742.4","-357.1","-357.1","-357.1","-494.8","-494.8","-494.8","-523.2","-523.2","-523.2","-393.2","-393.2","-393.2","-701.6","-701.6","-701.6"
