epoch,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX
77,67.15789474,67.15789474,67.15789474,82.47368421,82.47368421,82.47368421,66.05263158,66.05263158,66.05263158,48.63157895,48.63157895,48.63157895,129.1578947,129.1578947,129.1578947,45.57894737,45.57894737,45.57894737
78,49.21052632,49.21052632,49.21052632,58.31578947,58.31578947,58.31578947,68.94736842,68.94736842,68.94736842,52.26315789,52.26315789,52.26315789,81.31578947,81.31578947,81.31578947,60.84210526,60.84210526,60.84210526
79,45.36842105,45.36842105,45.36842105,111.3684211,111.3684211,111.3684211,85.73684211,85.73684211,85.73684211,47.47368421,47.47368421,47.47368421,105.0526316,105.0526316,105.0526316,59.78947368,59.78947368,59.78947368
80,61.63157895,61.63157895,61.63157895,75.21052632,75.21052632,75.21052632,50.10526316,50.10526316,50.10526316,58.21052632,58.21052632,58.21052632,75.05263158,75.05263158,75.05263158,58.31578947,58.31578947,58.31578947
81,69.68421053,69.68421053,69.68421053,68.94736842,68.94736842,68.94736842,145.1052632,145.1052632,145.1052632,51.47368421,51.47368421,51.47368421,105.1052632,105.1052632,105.1052632,66.31578947,66.31578947,66.31578947
82,47.05263158,47.05263158,47.05263158,40.05263158,40.05263158,40.05263158,96.84210526,96.84210526,96.84210526,37.68421053,37.68421053,37.68421053,86.26315789,86.26315789,86.26315789,97.21052632,97.21052632,97.21052632
83,65.84210526,65.84210526,65.84210526,100.2105263,100.2105263,100.2105263,67.68421053,67.68421053,67.68421053,71.73684211,71.73684211,71.73684211,104,104,104,67.73684211,67.73684211,67.73684211
84,73.05263158,73.05263158,73.05263158,49.52631579,49.52631579,49.52631579,98.47368421,98.47368421,98.47368421,51.94736842,51.94736842,51.94736842,103.4210526,103.4210526,103.4210526,44.21052632,44.21052632,44.21052632
85,63.47368421,63.47368421,63.47368421,70.94736842,70.94736842,70.94736842,102.7368421,102.7368421,102.7368421,57.36842105,57.36842105,57.36842105,200.5263158,200.5263158,200.5263158,52.21052632,52.21052632,52.21052632
86,43.05263158,43.05263158,43.05263158,85.89473684,85.89473684,85.89473684,58.89473684,58.89473684,58.89473684,65.84210526,65.84210526,65.84210526,104.5263158,104.5263158,104.5263158,52.63157895,52.63157895,52.63157895
