epoch,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
82,-456.6,-456.6,-456.6,-491.6,-491.6,-491.6,-531.9,-531.9,-531.9,-401.3,-401.3,-401.3,-521,-521,-521,-437.1,-437.1,-437.1
83,-513.6,-513.6,-513.6,-523.7,-523.7,-523.7,-575.9,-575.9,-575.9,-457.4,-457.4,-457.4,-578.7,-578.7,-578.7,-536.6,-536.6,-536.6
84,-479,-479,-479,-546.8,-546.8,-546.8,-599.1,-599.1,-599.1,-436.8,-436.8,-436.8,-539.7,-539.7,-539.7,-458.1,-458.1,-458.1
85,-491.8,-491.8,-491.8,-508.8,-508.8,-508.8,-585.3,-585.3,-585.3,-493.6,-493.6,-493.6,-510.9,-510.9,-510.9,-442.8,-442.8,-442.8
86,-486.8,-486.8,-486.8,-539,-539,-539,-482.6,-482.6,-482.6,-483.4,-483.4,-483.4,-564.4,-564.4,-564.4,-430.9,-430.9,-430.9
87,-488.6,-488.6,-488.6,-472,-472,-472,-558.4,-558.4,-558.4,-462.4,-462.4,-462.4,-558.5,-558.5,-558.5,-480.3,-480.3,-480.3
88,-437.7,-437.7,-437.7,-505.7,-505.7,-505.7,-551.8,-551.8,-551.8,-444.6,-444.6,-444.6,-511.1,-511.1,-511.1,-433.6,-433.6,-433.6
89,-497.3,-497.3,-497.3,-523.4,-523.4,-523.4,-524.7,-524.7,-524.7,-538.8,-538.8,-538.8,-481,-481,-481,-487.6,-487.6,-487.6
90,-497.6,-497.6,-497.6,-536.5,-536.5,-536.5,-510.9,-510.9,-510.9,-503.4,-503.4,-503.4,-554,-554,-554,-437.4,-437.4,-437.4
91,-384.2,-384.2,-384.2,-536.9,-536.9,-536.9,-512.4,-512.4,-512.4,-504.4,-504.4,-504.4,-538.2,-538.2,-538.2,-508.4,-508.4,-508.4
